age,status,sex,orientation,body_type,diet,drinks,drugs,smokes
50,single,m,straight,fit,mostly anything,socially,never,no
23,single,m,straight,athletic,anything,socially,sometimes,trying to quit
21,single,m,straight,thin,strictly anything,socially,often,sometimes
27,single,f,bisexual,curvy,mostly anything,socially,never,no
27,single,m,straight,fit,,socially,,no
43,single,m,straight,average,,socially,never,no
27,available,m,straight,fit,strictly anything,socially,,no
26,single,m,straight,average,,often,never,trying to quit
26,available,m,straight,average,,rarely,,no
30,available,m,straight,,,socially,sometimes,yes
32,seeing someone,f,straight,curvy,mostly vegetarian,socially,never,trying to quit
43,single,f,bisexual,curvy,mostly vegetarian,socially,,no
39,single,f,straight,average,anything,rarely,never,no
22,single,m,straight,athletic,strictly anything,socially,never,no
33,single,f,straight,athletic,,,never,no
24,single,m,straight,thin,mostly vegan,socially,,when drinking
50,single,m,straight,average,mostly anything,often,never,no
32,seeing someone,m,straight,average,,not at all,never,no
23,single,m,straight,athletic,,rarely,never,no
32,single,f,straight,fit,anything,socially,never,no
59,single,m,straight,fit,anything,socially,never,no
36,single,m,straight,fit,anything,often,sometimes,no
29,single,m,straight,athletic,,socially,,no
39,single,f,straight,fit,mostly anything,socially,,no
24,single,m,straight,skinny,,socially,never,no
28,single,m,straight,average,,desperately,often,yes
50,single,m,straight,athletic,,socially,never,no
32,single,f,straight,fit,,socially,never,no
41,single,f,straight,fit,,socially,,no
50,single,f,straight,skinny,mostly vegetarian,socially,,no
44,single,m,straight,,,socially,,no
48,single,m,straight,average,mostly anything,,,no
24,available,m,bisexual,skinny,,socially,sometimes,trying to quit
26,single,m,straight,fit,strictly anything,not at all,never,no
29,single,f,gay,thin,mostly anything,socially,never,no
40,single,f,straight,full figured,,socially,never,
29,single,f,straight,average,vegetarian,socially,never,no
54,single,f,straight,full figured,mostly anything,socially,never,no
20,single,f,straight,fit,,socially,never,no
51,single,f,straight,average,,socially,,
33,single,f,straight,average,,socially,never,
28,single,m,straight,,,socially,,
37,single,f,straight,athletic,,socially,,
20,single,m,straight,thin,anything,rarely,never,no
30,single,m,straight,,,,,
36,single,m,straight,fit,mostly anything,socially,,no
26,single,f,gay,curvy,mostly anything,socially,never,no
26,single,f,straight,fit,mostly anything,socially,never,no
33,single,f,straight,thin,anything,rarely,never,no
20,seeing someone,f,straight,average,,socially,never,no
31,single,m,straight,fit,strictly other,rarely,,no
62,single,m,straight,fit,anything,socially,never,no
33,single,f,straight,fit,,socially,never,no
22,single,m,straight,a little extra,,socially,never,when drinking
46,single,m,gay,fit,,socially,never,
27,single,m,straight,athletic,mostly anything,socially,never,no
29,single,m,straight,a little extra,mostly halal,often,never,when drinking
36,single,f,straight,average,strictly vegetarian,,,
25,single,m,straight,a little extra,mostly anything,often,sometimes,when drinking
32,single,m,gay,fit,mostly anything,socially,never,no
21,single,f,straight,fit,mostly anything,socially,never,no
27,single,f,straight,curvy,anything,often,never,no
38,available,m,straight,jacked,mostly anything,not at all,,no
27,single,m,straight,average,,not at all,never,no
44,single,f,straight,fit,,rarely,never,no
52,single,f,straight,fit,,often,never,no
33,single,f,straight,athletic,mostly anything,socially,never,no
28,single,f,straight,athletic,mostly anything,rarely,never,no
37,single,m,straight,fit,mostly anything,not at all,never,no
28,single,f,straight,thin,mostly vegetarian,rarely,never,no
32,single,m,straight,average,,socially,never,no
29,single,f,gay,full figured,,often,sometimes,sometimes
31,single,m,straight,,strictly vegetarian,socially,,no
42,single,m,straight,fit,anything,socially,never,no
32,single,f,straight,a little extra,mostly anything,socially,never,sometimes
28,single,m,straight,athletic,mostly anything,socially,sometimes,trying to quit
38,single,f,straight,athletic,anything,socially,,no
27,single,f,straight,,,,never,no
19,single,f,straight,curvy,,rarely,never,no
27,single,f,bisexual,fit,anything,socially,never,no
28,single,m,straight,fit,mostly anything,socially,never,no
29,seeing someone,f,straight,fit,anything,socially,never,no
31,single,f,straight,fit,strictly anything,socially,never,when drinking
27,single,f,straight,thin,,socially,never,no
43,single,f,straight,curvy,strictly anything,socially,never,no
43,single,m,straight,skinny,anything,socially,,sometimes
24,single,f,gay,fit,mostly anything,often,never,no
34,single,f,straight,fit,,,sometimes,
30,seeing someone,f,straight,thin,mostly anything,socially,never,no
59,single,f,straight,a little extra,mostly anything,socially,never,no
33,single,m,straight,average,mostly anything,rarely,never,no
41,single,m,straight,average,anything,,never,no
58,single,m,straight,thin,,socially,,no
24,single,f,straight,thin,mostly vegetarian,socially,never,when drinking
39,single,m,straight,average,,not at all,never,no
33,single,m,straight,athletic,,often,sometimes,no
43,single,f,straight,thin,strictly anything,socially,never,no
29,single,m,straight,average,mostly anything,socially,sometimes,no
28,single,f,straight,average,,socially,never,no
21,single,m,straight,a little extra,mostly anything,not at all,never,no
35,single,f,straight,fit,,socially,never,no
32,single,m,straight,athletic,,socially,never,sometimes
42,single,f,straight,athletic,anything,socially,never,no
23,single,f,straight,a little extra,,often,sometimes,yes
30,single,f,straight,average,strictly anything,socially,never,no
27,single,m,gay,fit,,not at all,never,trying to quit
41,single,f,straight,athletic,,not at all,never,no
33,single,m,straight,a little extra,mostly anything,socially,,no
58,single,f,straight,athletic,mostly anything,rarely,never,no
26,single,m,bisexual,,,,,
50,single,f,straight,thin,mostly anything,socially,never,no
45,single,f,gay,athletic,,socially,,no
66,single,f,straight,fit,mostly anything,socially,never,no
33,seeing someone,m,straight,average,strictly anything,socially,,no
32,single,m,straight,a little extra,,,,
53,single,f,bisexual,fit,,socially,sometimes,when drinking
28,single,m,straight,average,mostly anything,socially,never,sometimes
22,single,f,straight,average,strictly vegetarian,socially,never,yes
19,single,m,straight,average,,socially,sometimes,no
35,single,m,straight,average,mostly other,rarely,never,no
51,single,f,straight,rather not say,,socially,never,no
30,single,m,straight,average,mostly anything,socially,never,no
29,single,m,straight,fit,mostly other,socially,never,no
32,seeing someone,f,straight,fit,,often,sometimes,no
45,single,f,straight,full figured,,rarely,never,no
28,single,m,straight,athletic,mostly anything,socially,sometimes,no
36,single,f,straight,average,,socially,never,no
40,available,m,straight,a little extra,,socially,never,no
34,single,f,straight,average,mostly anything,socially,never,when drinking
24,single,f,straight,full figured,,,,
39,single,m,straight,thin,anything,socially,never,trying to quit
33,single,f,straight,athletic,,,never,
26,single,f,straight,curvy,anything,often,sometimes,yes
36,single,m,straight,fit,,socially,sometimes,
46,single,m,straight,fit,strictly anything,socially,never,no
21,single,m,straight,average,,,never,
63,single,f,straight,thin,,socially,never,
30,single,f,straight,average,anything,socially,never,no
50,single,f,straight,average,,socially,never,no
50,single,f,straight,average,mostly anything,socially,never,no
34,available,m,straight,average,,socially,never,no
40,single,f,straight,average,,socially,never,no
46,single,f,straight,thin,mostly anything,socially,never,no
41,single,m,straight,athletic,mostly anything,rarely,never,trying to quit
29,single,f,straight,athletic,mostly anything,socially,never,no
53,single,f,straight,average,other,rarely,never,no
39,single,m,straight,fit,mostly vegetarian,rarely,never,no
39,single,f,straight,curvy,,socially,never,no
24,single,f,straight,,,socially,never,no
26,single,m,straight,athletic,mostly anything,socially,,no
25,single,f,bisexual,,,socially,sometimes,no
59,single,f,straight,thin,mostly anything,not at all,never,no
28,single,f,straight,curvy,,socially,never,sometimes
29,single,m,straight,fit,,often,sometimes,sometimes
35,single,m,straight,average,strictly anything,socially,,no
25,single,f,straight,,,,,
36,single,f,straight,athletic,mostly anything,socially,,no
42,single,f,straight,fit,strictly anything,rarely,sometimes,no
25,single,f,straight,athletic,,,never,
27,single,m,straight,athletic,strictly anything,rarely,never,no
45,single,f,straight,average,mostly other,socially,never,no
37,single,m,straight,fit,,socially,,no
47,single,m,straight,average,mostly anything,rarely,never,no
24,single,f,straight,curvy,,socially,never,no
53,single,f,straight,a little extra,,not at all,never,no
26,single,f,gay,,,socially,never,sometimes
49,single,f,straight,average,mostly vegetarian,socially,sometimes,no
24,single,f,straight,average,,socially,never,no
19,single,m,straight,athletic,,desperately,sometimes,no
26,single,m,straight,curvy,strictly other,socially,,no
30,single,m,straight,athletic,,,,no
26,single,m,straight,athletic,mostly vegetarian,socially,sometimes,no
36,single,f,straight,fit,mostly anything,socially,never,no
24,single,m,bisexual,athletic,,socially,sometimes,sometimes
47,single,m,straight,average,mostly anything,not at all,never,sometimes
51,single,m,straight,fit,mostly anything,socially,never,no
28,single,m,straight,athletic,anything,socially,never,no
48,available,f,straight,average,mostly vegetarian,socially,never,no
37,single,f,straight,a little extra,,socially,,no
47,single,m,straight,fit,mostly anything,not at all,never,no
34,single,f,bisexual,curvy,anything,socially,sometimes,trying to quit
37,single,f,straight,fit,strictly anything,often,sometimes,sometimes
25,single,m,straight,fit,,socially,sometimes,sometimes
32,single,m,straight,athletic,mostly anything,socially,never,no
42,single,f,straight,fit,mostly anything,socially,,no
33,single,f,straight,average,mostly anything,socially,never,no
34,single,f,straight,fit,anything,socially,,no
42,single,m,straight,average,strictly other,socially,sometimes,trying to quit
29,single,m,straight,fit,strictly anything,socially,never,no
55,single,m,straight,average,mostly anything,socially,never,no
32,single,m,straight,,,socially,never,no
25,single,m,straight,fit,,socially,never,no
31,single,f,straight,average,mostly vegetarian,not at all,never,no
45,single,m,gay,athletic,,socially,never,
39,single,f,straight,thin,anything,not at all,never,no
50,available,m,straight,athletic,mostly anything,socially,never,no
29,single,f,straight,curvy,mostly vegetarian,socially,never,no
50,single,f,straight,average,,not at all,never,no
43,single,f,straight,thin,,socially,never,no
63,single,f,gay,a little extra,,socially,sometimes,no
35,single,m,straight,fit,strictly vegetarian,socially,never,no
19,single,f,straight,average,mostly vegetarian,socially,sometimes,sometimes
62,single,f,straight,thin,anything,socially,never,no
44,single,f,straight,fit,mostly anything,socially,never,no
30,single,f,straight,fit,strictly anything,socially,,
24,single,m,straight,athletic,vegetarian,socially,never,no
40,single,f,straight,curvy,mostly anything,not at all,never,no
63,single,f,straight,average,mostly anything,socially,never,no
45,single,m,straight,athletic,,rarely,never,no
53,single,f,straight,average,mostly anything,socially,never,no
36,single,m,straight,,,socially,,no
22,single,m,straight,athletic,strictly anything,socially,sometimes,when drinking
19,single,m,straight,athletic,,not at all,never,no
32,single,f,straight,,strictly anything,socially,never,no
61,single,f,straight,average,mostly anything,socially,never,trying to quit
20,single,f,straight,,,socially,never,no
34,single,f,straight,athletic,,socially,never,no
34,single,f,straight,athletic,anything,socially,never,no
36,single,m,straight,thin,mostly anything,socially,,no
29,single,m,straight,fit,vegetarian,socially,,no
30,single,m,straight,athletic,strictly anything,socially,never,sometimes
40,single,m,straight,,mostly anything,socially,never,no
28,single,f,straight,athletic,,socially,,no
20,single,m,straight,average,mostly anything,socially,sometimes,no
40,single,m,straight,jacked,mostly anything,socially,,when drinking
43,single,f,straight,fit,strictly anything,socially,never,no
19,single,m,bisexual,a little extra,anything,not at all,never,no
60,single,m,straight,athletic,anything,not at all,never,no
66,single,m,straight,average,,not at all,never,no
39,single,m,straight,athletic,strictly anything,,,sometimes
28,single,m,straight,skinny,,socially,never,
34,available,m,straight,fit,,rarely,,no
32,single,m,straight,average,,socially,never,no
34,single,f,straight,curvy,mostly anything,rarely,never,no
29,single,f,straight,fit,,socially,never,no
26,single,m,straight,fit,mostly vegetarian,socially,never,no
43,single,f,straight,curvy,,socially,,when drinking
44,single,f,straight,average,mostly anything,socially,never,no
32,single,m,straight,athletic,,often,,yes
37,single,f,gay,curvy,mostly vegetarian,socially,sometimes,when drinking
30,single,f,straight,skinny,strictly anything,often,sometimes,no
26,single,m,straight,average,strictly anything,socially,never,no
23,single,m,straight,athletic,,socially,never,no
31,single,m,straight,athletic,,socially,never,sometimes
34,single,m,straight,average,mostly anything,rarely,never,no
48,single,m,straight,fit,mostly anything,rarely,never,no
35,single,m,straight,skinny,,socially,never,no
25,single,m,straight,,,,,no
27,single,f,straight,average,mostly anything,rarely,never,no
27,single,m,straight,athletic,,,never,no
22,single,f,straight,average,,socially,never,no
35,single,m,straight,average,vegan,socially,never,no
26,single,m,straight,,,,,
32,single,m,gay,a little extra,mostly anything,socially,,trying to quit
32,single,m,straight,average,,socially,never,yes
23,single,m,straight,thin,mostly anything,socially,,sometimes
40,single,f,gay,average,,socially,,trying to quit
47,single,f,straight,athletic,mostly anything,socially,never,no
31,single,m,straight,athletic,mostly anything,socially,never,no
30,single,m,straight,athletic,strictly anything,socially,never,no
25,single,f,straight,fit,anything,socially,never,no
33,single,m,straight,thin,anything,not at all,never,no
54,single,m,straight,athletic,mostly vegetarian,rarely,never,no
30,single,m,straight,athletic,,socially,never,no
45,single,m,straight,athletic,,socially,,no
30,available,m,straight,athletic,strictly vegetarian,socially,never,no
49,single,m,gay,athletic,,socially,never,no
32,single,m,straight,average,,socially,never,when drinking
24,single,f,straight,fit,,socially,never,no
57,single,m,straight,athletic,strictly vegan,rarely,sometimes,no
41,single,m,straight,skinny,mostly anything,socially,never,no
37,single,f,straight,a little extra,,often,sometimes,no
35,single,m,straight,fit,,socially,,no
40,single,f,straight,fit,mostly anything,socially,never,no
50,single,f,straight,fit,,socially,,no
40,single,m,straight,fit,mostly anything,socially,,no
37,single,m,straight,fit,strictly vegetarian,not at all,never,no
60,single,m,straight,fit,mostly anything,socially,never,no
47,single,m,straight,fit,,socially,never,no
29,single,m,straight,athletic,,often,,
29,single,m,straight,athletic,mostly anything,socially,,when drinking
22,single,f,straight,jacked,mostly anything,often,sometimes,no
44,seeing someone,m,gay,,,rarely,never,no
57,single,f,straight,average,mostly vegetarian,rarely,never,no
43,single,f,straight,curvy,mostly anything,socially,never,no
20,single,f,straight,average,mostly anything,socially,never,no
29,single,m,gay,skinny,mostly vegetarian,socially,never,no
30,single,m,straight,,,often,sometimes,no
25,single,m,straight,athletic,,socially,never,no
39,single,m,straight,fit,,socially,never,no
41,single,f,straight,thin,mostly anything,socially,never,no
30,single,m,straight,fit,mostly anything,socially,,no
23,single,m,straight,fit,strictly anything,socially,never,no
49,single,f,straight,curvy,mostly other,socially,never,no
59,single,m,straight,average,anything,socially,never,no
39,single,m,straight,athletic,,socially,never,no
38,single,m,straight,fit,,socially,never,
59,single,f,straight,fit,anything,socially,never,no
26,single,f,straight,,mostly kosher,socially,never,no
33,single,f,straight,full figured,mostly anything,often,never,no
46,single,m,straight,,,socially,,no
36,single,m,straight,average,strictly anything,socially,never,no
40,available,f,bisexual,full figured,mostly anything,socially,,sometimes
29,single,m,straight,skinny,,socially,,
30,single,f,gay,thin,vegetarian,socially,never,no
30,single,f,straight,,,socially,never,no
33,seeing someone,m,straight,a little extra,,socially,sometimes,no
29,single,m,straight,athletic,anything,socially,never,no
23,single,f,straight,thin,,socially,,no
33,single,m,straight,athletic,,very often,sometimes,no
28,single,m,straight,fit,mostly anything,socially,never,no
31,single,m,bisexual,used up,,very often,often,
29,single,m,bisexual,a little extra,mostly vegetarian,socially,sometimes,no
44,single,f,straight,a little extra,,socially,never,no
28,single,f,straight,average,,socially,never,no
47,single,m,straight,fit,anything,socially,never,no
24,single,m,straight,fit,mostly anything,socially,never,no
28,single,m,straight,athletic,mostly anything,socially,,no
40,single,f,straight,average,,socially,never,no
24,single,m,straight,fit,mostly anything,socially,,sometimes
20,seeing someone,m,straight,,,,,
39,single,m,straight,average,mostly anything,not at all,never,yes
52,single,f,straight,fit,,socially,never,no
39,single,m,straight,thin,,socially,never,no
33,single,m,straight,thin,,,,
26,single,f,straight,average,strictly other,socially,,no
31,single,m,straight,,,,,
27,single,m,straight,fit,,socially,never,yes
60,single,m,straight,fit,mostly anything,not at all,,no
52,single,f,straight,thin,strictly anything,often,never,no
42,single,f,straight,a little extra,,socially,never,sometimes
31,single,f,straight,overweight,,socially,never,no
38,single,m,straight,athletic,mostly vegetarian,socially,never,no
26,single,m,straight,fit,,socially,never,no
32,single,f,straight,fit,,socially,never,no
40,available,m,straight,fit,,,never,
32,single,f,straight,fit,anything,socially,never,no
31,single,f,straight,fit,mostly vegan,rarely,never,no
32,single,m,straight,athletic,,socially,never,no
22,single,f,straight,average,mostly anything,socially,never,no
37,single,m,straight,fit,anything,socially,,no
33,single,f,straight,athletic,anything,socially,never,
44,single,m,straight,average,strictly anything,socially,never,trying to quit
18,single,m,straight,athletic,,,never,
38,single,m,gay,average,,socially,sometimes,when drinking
23,single,f,straight,average,mostly anything,socially,sometimes,no
33,single,f,straight,average,,socially,never,no
24,seeing someone,f,straight,fit,mostly other,socially,,no
32,single,f,straight,average,mostly anything,socially,never,no
27,single,f,straight,thin,,socially,never,no
39,single,f,straight,fit,strictly vegan,not at all,never,no
47,single,f,straight,fit,mostly vegetarian,socially,never,no
33,single,m,straight,athletic,mostly anything,socially,sometimes,trying to quit
38,single,m,gay,athletic,,not at all,never,no
42,single,f,straight,fit,,socially,never,no
42,single,m,straight,fit,mostly anything,socially,,no
21,single,f,straight,fit,mostly anything,socially,never,when drinking
35,single,m,straight,fit,mostly anything,often,,no
38,single,f,straight,fit,mostly vegetarian,rarely,never,no
34,single,f,straight,thin,,rarely,sometimes,no
27,single,m,straight,fit,,,,
29,single,m,straight,thin,,socially,never,no
27,single,f,bisexual,curvy,,socially,,no
23,single,m,bisexual,fit,mostly anything,,,no
33,single,m,straight,a little extra,mostly anything,socially,sometimes,yes
25,single,m,straight,average,mostly anything,socially,never,no
31,single,f,straight,,,socially,never,no
24,single,f,straight,average,,socially,never,no
49,single,m,straight,average,anything,socially,,no
23,single,m,straight,overweight,strictly anything,very often,often,no
23,single,f,gay,full figured,,rarely,never,no
22,single,f,gay,,mostly vegetarian,socially,,trying to quit
48,single,m,straight,fit,mostly anything,rarely,never,no
27,single,m,straight,fit,anything,socially,never,no
30,seeing someone,m,gay,,,socially,never,no
59,single,m,straight,fit,mostly anything,socially,never,no
27,single,m,straight,average,,socially,never,no
24,single,m,straight,fit,mostly anything,socially,never,no
32,single,f,straight,,mostly anything,socially,never,no
24,single,m,straight,fit,anything,,never,
32,single,m,straight,used up,anything,desperately,never,no
30,available,m,straight,athletic,strictly anything,socially,never,no
40,single,f,straight,curvy,,socially,never,no
18,single,m,straight,athletic,strictly anything,socially,never,no
29,single,m,straight,athletic,,,,
32,single,f,straight,athletic,,socially,never,no
27,single,f,straight,thin,mostly vegetarian,socially,never,no
56,single,f,straight,curvy,,socially,never,no
35,single,m,straight,athletic,,socially,never,no
20,single,m,straight,athletic,strictly anything,socially,sometimes,
30,single,m,gay,fit,strictly anything,rarely,,no
43,single,m,straight,average,mostly anything,often,often,when drinking
27,single,m,straight,athletic,anything,socially,never,no
30,single,m,straight,average,mostly anything,socially,never,no
58,single,m,straight,,,often,never,no
31,single,m,straight,athletic,mostly anything,socially,,no
34,single,m,straight,rather not say,mostly anything,rarely,,no
41,single,m,straight,average,mostly anything,socially,never,trying to quit
27,single,f,straight,average,,socially,never,when drinking
37,single,m,straight,average,anything,socially,never,no
35,single,f,straight,thin,mostly anything,socially,,no
26,single,m,straight,fit,,socially,,sometimes
28,single,m,straight,athletic,,socially,never,no
32,single,m,straight,average,mostly anything,often,,no
38,single,f,straight,athletic,,socially,,no
42,single,m,straight,athletic,mostly anything,socially,never,no
25,single,m,straight,fit,,socially,never,sometimes
34,single,f,straight,average,anything,socially,,no
46,single,m,straight,fit,anything,socially,,no
31,single,m,straight,average,strictly anything,socially,,no
26,single,f,straight,curvy,mostly anything,socially,never,no
37,single,m,straight,fit,mostly anything,socially,sometimes,no
28,single,f,straight,athletic,mostly anything,socially,,sometimes
21,single,m,straight,average,vegetarian,,never,no
50,single,m,straight,average,mostly anything,often,never,no
24,single,f,straight,average,,not at all,never,yes
24,single,m,gay,,mostly anything,often,sometimes,no
32,single,m,straight,average,anything,socially,never,no
50,single,m,straight,fit,mostly anything,often,,no
33,single,f,straight,skinny,,socially,never,no
38,single,m,straight,average,other,not at all,,trying to quit
49,available,m,straight,athletic,strictly anything,socially,sometimes,no
35,single,m,straight,athletic,,socially,,no
20,single,f,straight,curvy,vegan,,,no
22,single,m,straight,athletic,,not at all,,no
32,single,m,straight,curvy,mostly anything,rarely,sometimes,when drinking
25,single,m,straight,skinny,,socially,often,trying to quit
26,single,f,straight,a little extra,strictly vegan,desperately,often,yes
23,single,m,straight,average,mostly anything,socially,sometimes,yes
43,single,m,straight,thin,anything,,,no
28,single,m,straight,athletic,mostly anything,rarely,never,no
44,available,m,bisexual,athletic,mostly anything,socially,sometimes,no
22,single,m,gay,thin,mostly anything,socially,,no
31,single,f,straight,fit,mostly vegetarian,socially,,no
65,single,m,gay,,,socially,never,no
36,single,f,straight,curvy,,socially,,no
35,single,f,straight,thin,mostly anything,socially,,no
40,single,f,straight,curvy,mostly other,socially,never,
30,single,f,straight,curvy,mostly anything,rarely,never,no
26,single,m,straight,thin,strictly vegetarian,socially,sometimes,no
23,single,m,gay,fit,mostly vegetarian,socially,,no
27,available,m,straight,,,socially,sometimes,no
36,single,m,straight,average,strictly anything,often,sometimes,yes
41,available,f,bisexual,fit,strictly anything,often,never,no
45,single,m,straight,athletic,mostly anything,socially,never,no
48,single,m,straight,average,,socially,never,no
26,single,m,straight,average,strictly anything,often,never,sometimes
23,single,m,straight,fit,mostly anything,socially,never,no
28,single,f,gay,average,,socially,never,no
29,single,m,straight,average,anything,socially,never,no
42,single,f,straight,,,socially,never,no
33,single,f,straight,thin,anything,not at all,never,no
52,single,m,straight,a little extra,anything,socially,never,no
25,single,m,straight,athletic,mostly anything,socially,never,trying to quit
61,single,m,straight,fit,mostly anything,socially,never,no
28,single,m,straight,average,mostly anything,socially,never,when drinking
35,single,m,straight,average,strictly vegetarian,not at all,sometimes,no
34,single,m,straight,fit,,socially,never,no
59,single,f,straight,thin,,rarely,never,no
31,single,m,straight,athletic,,rarely,,trying to quit
19,single,m,straight,a little extra,,socially,,no
29,single,f,straight,athletic,mostly anything,socially,never,no
55,single,f,straight,curvy,,socially,,no
45,single,m,straight,average,mostly anything,socially,never,no
49,single,f,straight,average,mostly anything,socially,never,no
21,single,m,straight,skinny,mostly anything,socially,,no
27,single,f,straight,curvy,,socially,never,no
24,single,f,straight,,,socially,,
